C1,oz1041,2017-05-17 09:15:33.724

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C2,oz1041,2017-05-17 09:15:33.73

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C3,oz1041,2017-05-17 09:15:33.734

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C4,oz1041,2017-05-17 09:15:33.737

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C5,oz1041,2017-05-17 09:15:33.74

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C6,oz1041,2017-05-17 09:15:33.742

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C7,oz1041,2017-05-17 09:15:33.745

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C8,oz1041,2017-05-17 09:15:33.747

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C9,oz1041,2017-05-17 09:15:33.75

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C10,oz1041,2017-05-17 09:15:33.764

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C11,oz1041,2017-05-17 09:15:33.772

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C12,oz1041,2017-05-17 09:15:33.775

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C13,oz1041,2017-05-17 09:15:33.777

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C14,oz1041,2017-05-17 09:15:33.78

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C15,oz1041,2017-05-17 09:15:33.782

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C16,oz1041,2017-05-17 09:15:33.785

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C17,oz1041,2017-05-17 09:15:33.788

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C18,oz1041,2017-05-17 09:15:33.79

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C19,oz1041,2017-05-17 09:15:33.792

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C20,oz1041,2017-05-17 09:15:33.794

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C21,oz1041,2017-05-17 09:15:33.797

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C22,oz1041,2017-05-17 09:15:33.8

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C23,oz1041,2017-05-17 09:15:33.802

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C24,oz1041,2017-05-17 09:15:33.805

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C25,oz1041,2017-05-17 09:15:33.808

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C26,oz1041,2017-05-17 09:15:33.811

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C27,oz1041,2017-05-17 09:15:33.814

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C28,oz1041,2017-05-17 09:15:33.818

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C29,oz1041,2017-05-17 09:15:33.82

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C30,oz1041,2017-05-17 09:15:33.822

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C31,oz1041,2017-05-17 09:15:33.824

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C32,oz1041,2017-05-17 09:15:33.826

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C33,oz1041,2017-05-17 09:15:33.829

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C34,oz1041,2017-05-17 09:15:33.831

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C35,oz1041,2017-05-17 09:15:33.833

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






C36,oz1041,2017-05-17 09:15:33.836

oz1031,633.66003,5
oz1029,634.07214,2
oz1026,640.66113,1
oz1030,670.6481,0
oz1028,695.92346,0
oz1024,721.9614,0
oz1023,737.88916,0
oz1025,773.53174,0






